event_date,site_id,rule_id,rule_name,records_evaluated,records_failed
2026-06-01,SITE-01,DQ-01,required_field_completeness,13041,13
2026-06-01,SITE-01,DQ-02,identifier_conformance,4624,31
2026-06-01,SITE-01,DQ-03,terminology_mapping,7469,45
2026-06-01,SITE-01,DQ-04,referential_integrity,11682,15
2026-06-01,SITE-02,DQ-01,required_field_completeness,10823,43
2026-06-01,SITE-02,DQ-02,identifier_conformance,12405,23
2026-06-01,SITE-02,DQ-03,terminology_mapping,12966,42
2026-06-01,SITE-02,DQ-04,referential_integrity,13570,3
2026-06-01,SITE-03,DQ-01,required_field_completeness,3701,16
2026-06-01,SITE-03,DQ-02,identifier_conformance,14259,15
2026-06-01,SITE-03,DQ-03,terminology_mapping,13395,6
2026-06-01,SITE-03,DQ-04,referential_integrity,7477,21
2026-06-01,SITE-04,DQ-01,required_field_completeness,8970,13
2026-06-01,SITE-04,DQ-02,identifier_conformance,12654,35
2026-06-01,SITE-04,DQ-03,terminology_mapping,5159,42
2026-06-01,SITE-04,DQ-04,referential_integrity,6514,18
2026-06-01,SITE-05,DQ-01,required_field_completeness,6584,16
2026-06-01,SITE-05,DQ-02,identifier_conformance,6211,5
2026-06-01,SITE-05,DQ-03,terminology_mapping,9133,4
2026-06-01,SITE-05,DQ-04,referential_integrity,5802,14
2026-06-01,SITE-06,DQ-01,required_field_completeness,13893,3
2026-06-01,SITE-06,DQ-02,identifier_conformance,6178,32
2026-06-01,SITE-06,DQ-03,terminology_mapping,14067,22
2026-06-01,SITE-06,DQ-04,referential_integrity,7748,13
2026-06-02,SITE-01,DQ-01,required_field_completeness,8735,42
2026-06-02,SITE-01,DQ-02,identifier_conformance,5387,41
2026-06-02,SITE-01,DQ-03,terminology_mapping,3609,45
2026-06-02,SITE-01,DQ-04,referential_integrity,4216,38
2026-06-02,SITE-02,DQ-01,required_field_completeness,8481,26
2026-06-02,SITE-02,DQ-02,identifier_conformance,14256,18
2026-06-02,SITE-02,DQ-03,terminology_mapping,9851,43
2026-06-02,SITE-02,DQ-04,referential_integrity,6535,28
2026-06-02,SITE-03,DQ-01,required_field_completeness,11611,43
2026-06-02,SITE-03,DQ-02,identifier_conformance,4076,17
2026-06-02,SITE-03,DQ-03,terminology_mapping,13181,19
2026-06-02,SITE-03,DQ-04,referential_integrity,7931,14
2026-06-02,SITE-04,DQ-01,required_field_completeness,14550,7
2026-06-02,SITE-04,DQ-02,identifier_conformance,4579,18
2026-06-02,SITE-04,DQ-03,terminology_mapping,6555,17
2026-06-02,SITE-04,DQ-04,referential_integrity,9741,20
2026-06-02,SITE-05,DQ-01,required_field_completeness,14401,9
2026-06-02,SITE-05,DQ-02,identifier_conformance,13880,44
2026-06-02,SITE-05,DQ-03,terminology_mapping,14168,42
2026-06-02,SITE-05,DQ-04,referential_integrity,14831,26
2026-06-02,SITE-06,DQ-01,required_field_completeness,8741,33
2026-06-02,SITE-06,DQ-02,identifier_conformance,3615,5
2026-06-02,SITE-06,DQ-03,terminology_mapping,10223,33
2026-06-02,SITE-06,DQ-04,referential_integrity,13136,26
2026-06-03,SITE-01,DQ-01,required_field_completeness,5499,35
2026-06-03,SITE-01,DQ-02,identifier_conformance,7651,5
2026-06-03,SITE-01,DQ-03,terminology_mapping,5415,3
2026-06-03,SITE-01,DQ-04,referential_integrity,9394,40
2026-06-03,SITE-02,DQ-01,required_field_completeness,9582,37
2026-06-03,SITE-02,DQ-02,identifier_conformance,8907,26
2026-06-03,SITE-02,DQ-03,terminology_mapping,5930,39
2026-06-03,SITE-02,DQ-04,referential_integrity,14040,40
2026-06-03,SITE-03,DQ-01,required_field_completeness,6455,15
2026-06-03,SITE-03,DQ-02,identifier_conformance,11695,2
2026-06-03,SITE-03,DQ-03,terminology_mapping,11687,44
2026-06-03,SITE-03,DQ-04,referential_integrity,14055,38
2026-06-03,SITE-04,DQ-01,required_field_completeness,13767,17
2026-06-03,SITE-04,DQ-02,identifier_conformance,10847,14
2026-06-03,SITE-04,DQ-03,terminology_mapping,11437,4
2026-06-03,SITE-04,DQ-04,referential_integrity,4779,36
2026-06-03,SITE-05,DQ-01,required_field_completeness,4048,10
2026-06-03,SITE-05,DQ-02,identifier_conformance,6604,26
2026-06-03,SITE-05,DQ-03,terminology_mapping,11164,16
2026-06-03,SITE-05,DQ-04,referential_integrity,10640,41
2026-06-03,SITE-06,DQ-01,required_field_completeness,9655,12
2026-06-03,SITE-06,DQ-02,identifier_conformance,9463,5
2026-06-03,SITE-06,DQ-03,terminology_mapping,9246,6
2026-06-03,SITE-06,DQ-04,referential_integrity,5920,19
2026-06-04,SITE-01,DQ-01,required_field_completeness,6159,41
2026-06-04,SITE-01,DQ-02,identifier_conformance,4115,3
2026-06-04,SITE-01,DQ-03,terminology_mapping,7457,43
2026-06-04,SITE-01,DQ-04,referential_integrity,9741,11
2026-06-04,SITE-02,DQ-01,required_field_completeness,4917,4
2026-06-04,SITE-02,DQ-02,identifier_conformance,5772,23
2026-06-04,SITE-02,DQ-03,terminology_mapping,13356,4
2026-06-04,SITE-02,DQ-04,referential_integrity,13208,9
2026-06-04,SITE-03,DQ-01,required_field_completeness,7267,20
2026-06-04,SITE-03,DQ-02,identifier_conformance,6448,14
2026-06-04,SITE-03,DQ-03,terminology_mapping,10877,9
2026-06-04,SITE-03,DQ-04,referential_integrity,10659,14
2026-06-04,SITE-04,DQ-01,required_field_completeness,4706,42
2026-06-04,SITE-04,DQ-02,identifier_conformance,12058,12
2026-06-04,SITE-04,DQ-03,terminology_mapping,4657,12
2026-06-04,SITE-04,DQ-04,referential_integrity,12274,26
2026-06-04,SITE-05,DQ-01,required_field_completeness,10213,11
2026-06-04,SITE-05,DQ-02,identifier_conformance,9695,38
2026-06-04,SITE-05,DQ-03,terminology_mapping,11822,8
2026-06-04,SITE-05,DQ-04,referential_integrity,9857,2
2026-06-04,SITE-06,DQ-01,required_field_completeness,11270,21
2026-06-04,SITE-06,DQ-02,identifier_conformance,4151,41
2026-06-04,SITE-06,DQ-03,terminology_mapping,3960,14
2026-06-04,SITE-06,DQ-04,referential_integrity,9001,2
2026-06-05,SITE-01,DQ-01,required_field_completeness,10427,39
2026-06-05,SITE-01,DQ-02,identifier_conformance,9925,20
2026-06-05,SITE-01,DQ-03,terminology_mapping,12377,20
