event_date,site_id,workflow,records_received,records_delivered,records_valid,p95_latency_seconds,bytes_per_record
2026-06-01,SITE-01,EHR_TO_EDC,15295,15093,14842,284,1070
2026-06-01,SITE-02,EHR_TO_EDC,12086,11975,11773,325,967
2026-06-01,SITE-03,EHR_TO_EDC,8395,8305,8191,313,930
2026-06-01,SITE-04,EHR_TO_EDC,8077,7964,7818,387,960
2026-06-01,SITE-05,EHR_TO_EDC,5156,5114,5044,432,968
2026-06-01,SITE-06,EHR_TO_EDC,3038,3002,2955,459,970
2026-06-02,SITE-01,EHR_TO_EDC,16087,15935,15664,262,941
2026-06-02,SITE-02,EHR_TO_EDC,13235,13077,12802,312,941
2026-06-02,SITE-03,EHR_TO_EDC,9023,8933,8780,324,937
2026-06-02,SITE-04,EHR_TO_EDC,8310,8205,8091,381,1018
2026-06-02,SITE-05,EHR_TO_EDC,4338,4278,4215,365,933
2026-06-02,SITE-06,EHR_TO_EDC,3646,3608,3548,450,970
2026-06-03,SITE-01,EHR_TO_EDC,17003,16839,16578,236,1024
2026-06-03,SITE-02,EHR_TO_EDC,13040,12925,12755,272,1044
2026-06-03,SITE-03,EHR_TO_EDC,9287,9174,9021,319,953
2026-06-03,SITE-04,EHR_TO_EDC,8345,8246,8112,344,920
2026-06-03,SITE-05,EHR_TO_EDC,4957,4891,4815,440,925
2026-06-03,SITE-06,EHR_TO_EDC,3205,3175,3131,473,974
2026-06-04,SITE-01,EHR_TO_EDC,17253,17088,16752,267,938
2026-06-04,SITE-02,EHR_TO_EDC,13453,13338,13096,334,1073
2026-06-04,SITE-03,EHR_TO_EDC,10130,10026,9885,353,1043
2026-06-04,SITE-04,EHR_TO_EDC,8995,8915,8786,379,999
2026-06-04,SITE-05,EHR_TO_EDC,4987,4922,4829,396,1061
2026-06-04,SITE-06,EHR_TO_EDC,3379,3338,3271,449,940
2026-06-05,SITE-01,EHR_TO_EDC,17875,17726,17490,238,981
2026-06-05,SITE-02,EHR_TO_EDC,14684,14543,14319,322,937
2026-06-05,SITE-03,EHR_TO_EDC,10036,9941,9759,366,1077
2026-06-05,SITE-04,EHR_TO_EDC,8299,8218,8061,356,988
2026-06-05,SITE-05,EHR_TO_EDC,5586,5526,5452,372,1014
2026-06-05,SITE-06,EHR_TO_EDC,4148,4100,4043,416,1035
2026-06-06,SITE-01,EHR_TO_EDC,18354,18134,17813,291,1071
2026-06-06,SITE-02,EHR_TO_EDC,14580,14382,14090,320,999
2026-06-06,SITE-03,EHR_TO_EDC,10261,10177,10005,304,999
2026-06-06,SITE-04,EHR_TO_EDC,9202,9120,8995,339,1014
2026-06-06,SITE-05,EHR_TO_EDC,5124,5055,4957,381,1007
2026-06-06,SITE-06,EHR_TO_EDC,4019,3984,3903,460,1026
2026-06-07,SITE-01,EHR_TO_EDC,18485,18241,18001,298,1017
2026-06-07,SITE-02,EHR_TO_EDC,15837,15654,15440,269,949
2026-06-07,SITE-03,EHR_TO_EDC,11120,10972,10795,337,1068
2026-06-07,SITE-04,EHR_TO_EDC,9853,9748,9614,399,1051
2026-06-07,SITE-05,EHR_TO_EDC,5214,5162,5075,376,948
2026-06-07,SITE-06,EHR_TO_EDC,4351,4295,4230,462,1014
2026-06-08,SITE-01,EHR_TO_EDC,14972,14839,14584,250,1007
2026-06-08,SITE-02,EHR_TO_EDC,13012,12835,12576,323,1023
2026-06-08,SITE-03,EHR_TO_EDC,9559,9468,9284,350,971
2026-06-08,SITE-04,EHR_TO_EDC,7244,7169,7022,404,954
2026-06-08,SITE-05,EHR_TO_EDC,4186,4140,4062,370,963
2026-06-08,SITE-06,EHR_TO_EDC,2805,2774,2717,435,1025
