transfer_id,event_ts_utc,site_id,workflow,record_count,duration_seconds,status,retry_count,validation_error_count
T-00001,2026-06-01T08:00:00+00:00,SITE-01,EHR_TO_EDC,2590,114,success,0,7
T-00002,2026-06-01T13:00:00+00:00,SITE-01,EHR_TO_EDC,2190,120,success,0,10
T-00003,2026-06-01T18:00:00+00:00,SITE-01,EHR_TO_EDC,4481,286,success,0,6
T-00004,2026-06-01T08:00:00+00:00,SITE-02,EHR_TO_EDC,862,30,success,0,12
T-00005,2026-06-01T13:00:00+00:00,SITE-02,EHR_TO_EDC,3097,215,success,0,1
T-00006,2026-06-01T18:00:00+00:00,SITE-02,EHR_TO_EDC,3720,209,success,0,5
T-00007,2026-06-01T08:00:00+00:00,SITE-03,EHR_TO_EDC,2594,214,success,0,12
T-00008,2026-06-01T13:00:00+00:00,SITE-03,EHR_TO_EDC,4153,217,success,0,12
T-00009,2026-06-01T18:00:00+00:00,SITE-03,EHR_TO_EDC,2251,185,success,0,1
T-00010,2026-06-01T08:00:00+00:00,SITE-04,EHR_TO_EDC,1582,100,success,0,11
T-00011,2026-06-01T13:00:00+00:00,SITE-04,EHR_TO_EDC,1709,77,success,0,5
T-00012,2026-06-01T18:00:00+00:00,SITE-04,EHR_TO_EDC,2666,134,success,0,12
T-00013,2026-06-01T08:00:00+00:00,SITE-05,EHR_TO_EDC,1578,123,success,0,14
T-00014,2026-06-01T13:00:00+00:00,SITE-05,EHR_TO_EDC,3811,210,success,0,15
T-00015,2026-06-01T18:00:00+00:00,SITE-05,EHR_TO_EDC,2531,162,success,0,5
T-00016,2026-06-01T08:00:00+00:00,SITE-06,EHR_TO_EDC,4233,257,success,0,6
T-00017,2026-06-01T13:00:00+00:00,SITE-06,EHR_TO_EDC,2913,170,success,0,13
T-00018,2026-06-01T18:00:00+00:00,SITE-06,EHR_TO_EDC,998,30,success,0,8
T-00019,2026-06-02T08:00:00+00:00,SITE-01,EHR_TO_EDC,2186,116,success,0,0
T-00020,2026-06-02T13:00:00+00:00,SITE-01,EHR_TO_EDC,2825,139,success,0,8
T-00021,2026-06-02T18:00:00+00:00,SITE-01,EHR_TO_EDC,2797,165,success,0,6
T-00022,2026-06-02T08:00:00+00:00,SITE-02,EHR_TO_EDC,1800,73,success,0,11
T-00023,2026-06-02T13:00:00+00:00,SITE-02,EHR_TO_EDC,934,30,success,0,11
T-00024,2026-06-02T18:00:00+00:00,SITE-02,EHR_TO_EDC,1261,128,success,0,7
T-00025,2026-06-02T08:00:00+00:00,SITE-03,EHR_TO_EDC,3663,270,success,0,3
T-00026,2026-06-02T13:00:00+00:00,SITE-03,EHR_TO_EDC,783,44,success,0,12
T-00027,2026-06-02T18:00:00+00:00,SITE-03,EHR_TO_EDC,2542,111,success,0,12
T-00028,2026-06-02T08:00:00+00:00,SITE-04,EHR_TO_EDC,2032,104,success,0,1
T-00029,2026-06-02T13:00:00+00:00,SITE-04,EHR_TO_EDC,1937,117,success,0,7
T-00030,2026-06-02T18:00:00+00:00,SITE-04,EHR_TO_EDC,2700,115,success,0,6
T-00031,2026-06-02T08:00:00+00:00,SITE-05,EHR_TO_EDC,1317,98,success,0,4
T-00032,2026-06-02T13:00:00+00:00,SITE-05,EHR_TO_EDC,830,32,success,0,9
T-00033,2026-06-02T18:00:00+00:00,SITE-05,EHR_TO_EDC,2382,146,success,0,15
T-00034,2026-06-02T08:00:00+00:00,SITE-06,EHR_TO_EDC,2928,210,success,0,4
T-00035,2026-06-02T13:00:00+00:00,SITE-06,EHR_TO_EDC,2817,206,success,0,8
T-00036,2026-06-02T18:00:00+00:00,SITE-06,EHR_TO_EDC,1985,162,success,0,14
T-00037,2026-06-03T08:00:00+00:00,SITE-01,EHR_TO_EDC,3428,198,success,0,4
T-00038,2026-06-03T13:00:00+00:00,SITE-01,EHR_TO_EDC,4304,225,success,0,8
T-00039,2026-06-03T18:00:00+00:00,SITE-01,EHR_TO_EDC,2891,211,success,0,14
T-00040,2026-06-03T08:00:00+00:00,SITE-02,EHR_TO_EDC,2360,108,success,0,12
T-00041,2026-06-03T13:00:00+00:00,SITE-02,EHR_TO_EDC,2816,226,success,0,11
T-00042,2026-06-03T18:00:00+00:00,SITE-02,EHR_TO_EDC,1625,63,success,0,9
T-00043,2026-06-03T08:00:00+00:00,SITE-03,EHR_TO_EDC,2217,127,success,0,6
T-00044,2026-06-03T13:00:00+00:00,SITE-03,EHR_TO_EDC,1274,35,success,0,0
T-00045,2026-06-03T18:00:00+00:00,SITE-03,EHR_TO_EDC,3760,248,success,0,15
T-00046,2026-06-03T08:00:00+00:00,SITE-04,EHR_TO_EDC,3018,128,success,0,9
T-00047,2026-06-03T13:00:00+00:00,SITE-04,EHR_TO_EDC,3405,234,success,0,2
T-00048,2026-06-03T18:00:00+00:00,SITE-04,EHR_TO_EDC,4464,317,success,0,6
T-00049,2026-06-03T08:00:00+00:00,SITE-05,EHR_TO_EDC,2986,213,success,0,11
T-00050,2026-06-03T13:00:00+00:00,SITE-05,EHR_TO_EDC,3430,165,success,0,11
T-00051,2026-06-03T18:00:00+00:00,SITE-05,EHR_TO_EDC,1660,152,success,0,8
T-00052,2026-06-03T08:00:00+00:00,SITE-06,EHR_TO_EDC,1068,121,success,0,13
T-00053,2026-06-03T13:00:00+00:00,SITE-06,EHR_TO_EDC,1190,76,success,0,15
T-00054,2026-06-03T18:00:00+00:00,SITE-06,EHR_TO_EDC,946,74,success,0,12
T-00055,2026-06-04T08:00:00+00:00,SITE-01,EHR_TO_EDC,2044,109,success,0,15
T-00056,2026-06-04T13:00:00+00:00,SITE-01,EHR_TO_EDC,3580,193,success,0,7
T-00057,2026-06-04T18:00:00+00:00,SITE-01,EHR_TO_EDC,1349,152,success,0,12
T-00058,2026-06-04T08:00:00+00:00,SITE-02,EHR_TO_EDC,1527,104,success,0,5
T-00059,2026-06-04T13:00:00+00:00,SITE-02,EHR_TO_EDC,2136,163,success,0,7
T-00060,2026-06-04T18:00:00+00:00,SITE-02,EHR_TO_EDC,2831,128,success,0,10
T-00061,2026-06-04T08:00:00+00:00,SITE-03,EHR_TO_EDC,4417,259,success,0,4
T-00062,2026-06-04T13:00:00+00:00,SITE-03,EHR_TO_EDC,2659,181,success,0,8
T-00063,2026-06-04T18:00:00+00:00,SITE-03,EHR_TO_EDC,3572,267,success,0,9
T-00064,2026-06-04T08:00:00+00:00,SITE-04,EHR_TO_EDC,3567,275,success,0,0
T-00065,2026-06-04T13:00:00+00:00,SITE-04,EHR_TO_EDC,4396,254,success,0,3
T-00066,2026-06-04T18:00:00+00:00,SITE-04,EHR_TO_EDC,2192,197,success,0,2
T-00067,2026-06-04T08:00:00+00:00,SITE-05,EHR_TO_EDC,4437,257,success,0,8
T-00068,2026-06-04T13:00:00+00:00,SITE-05,EHR_TO_EDC,923,59,success,0,15
T-00069,2026-06-04T18:00:00+00:00,SITE-05,EHR_TO_EDC,4168,265,success,0,9
T-00070,2026-06-04T08:00:00+00:00,SITE-06,EHR_TO_EDC,2620,197,success,0,10
T-00071,2026-06-04T13:00:00+00:00,SITE-06,EHR_TO_EDC,4329,232,success,0,2
T-00072,2026-06-04T18:00:00+00:00,SITE-06,EHR_TO_EDC,796,30,success,0,11
T-00073,2026-06-05T08:00:00+00:00,SITE-01,EHR_TO_EDC,2025,186,success,0,11
T-00074,2026-06-05T13:00:00+00:00,SITE-01,EHR_TO_EDC,3017,165,success,0,8
T-00075,2026-06-05T18:00:00+00:00,SITE-01,EHR_TO_EDC,4038,269,success,0,5
T-00076,2026-06-05T08:00:00+00:00,SITE-02,EHR_TO_EDC,3330,205,success,0,12
T-00077,2026-06-05T13:00:00+00:00,SITE-02,EHR_TO_EDC,3220,181,success,0,11
T-00078,2026-06-05T18:00:00+00:00,SITE-02,EHR_TO_EDC,827,78,success,0,6
T-00079,2026-06-05T08:00:00+00:00,SITE-03,EHR_TO_EDC,3859,183,success,0,1
T-00080,2026-06-05T13:00:00+00:00,SITE-03,EHR_TO_EDC,3242,209,success,0,13
T-00081,2026-06-05T18:00:00+00:00,SITE-03,EHR_TO_EDC,3210,191,success,0,2
T-00082,2026-06-05T08:00:00+00:00,SITE-04,EHR_TO_EDC,1831,69,success,0,14
T-00083,2026-06-05T13:00:00+00:00,SITE-04,EHR_TO_EDC,4303,256,success,0,12
T-00084,2026-06-05T18:00:00+00:00,SITE-04,EHR_TO_EDC,4425,254,success,0,1
T-00085,2026-06-05T08:00:00+00:00,SITE-05,EHR_TO_EDC,3992,198,success,0,8
T-00086,2026-06-05T13:00:00+00:00,SITE-05,EHR_TO_EDC,1964,132,success,0,11
T-00087,2026-06-05T18:00:00+00:00,SITE-05,EHR_TO_EDC,2637,108,success,0,4
T-00088,2026-06-05T08:00:00+00:00,SITE-06,EHR_TO_EDC,3179,160,success,0,8
T-00089,2026-06-05T13:00:00+00:00,SITE-06,EHR_TO_EDC,1635,83,success,0,7
