event_date,site_id,batches_total,batches_failed,batches_retried,max_retry_count,max_batch_duration_s
2026-06-01,SITE-01,3,0,0,0,286
2026-06-01,SITE-02,3,0,0,0,215
2026-06-01,SITE-03,3,0,0,0,217
2026-06-01,SITE-04,3,0,0,0,134
2026-06-01,SITE-05,3,0,0,0,210
2026-06-01,SITE-06,3,0,0,0,257
2026-06-02,SITE-01,3,0,0,0,165
2026-06-02,SITE-02,3,0,0,0,128
2026-06-02,SITE-03,3,0,0,0,270
2026-06-02,SITE-04,3,0,0,0,117
2026-06-02,SITE-05,3,0,0,0,146
2026-06-02,SITE-06,3,0,0,0,210
2026-06-03,SITE-01,3,0,0,0,225
2026-06-03,SITE-02,3,0,0,0,226
2026-06-03,SITE-03,3,0,0,0,248
2026-06-03,SITE-04,3,0,0,0,317
2026-06-03,SITE-05,3,0,0,0,213
2026-06-03,SITE-06,3,0,0,0,121
2026-06-04,SITE-01,3,0,0,0,193
2026-06-04,SITE-02,3,0,0,0,163
2026-06-04,SITE-03,3,0,0,0,267
2026-06-04,SITE-04,3,0,0,0,275
2026-06-04,SITE-05,3,0,0,0,265
2026-06-04,SITE-06,3,0,0,0,232
2026-06-05,SITE-01,3,0,0,0,269
2026-06-05,SITE-02,3,0,0,0,205
2026-06-05,SITE-03,3,0,0,0,209
2026-06-05,SITE-04,3,0,0,0,256
2026-06-05,SITE-05,3,0,0,0,198
2026-06-05,SITE-06,3,0,0,0,160
2026-06-06,SITE-01,3,0,0,0,278
2026-06-06,SITE-02,3,0,0,0,245
2026-06-06,SITE-03,3,0,0,0,273
2026-06-06,SITE-04,3,0,0,0,254
2026-06-06,SITE-05,3,0,0,0,177
2026-06-06,SITE-06,3,0,0,0,272
2026-06-07,SITE-01,3,0,0,0,213
2026-06-07,SITE-02,3,0,0,0,257
2026-06-07,SITE-03,3,0,0,0,173
2026-06-07,SITE-04,3,0,0,0,262
2026-06-07,SITE-05,3,0,0,0,201
2026-06-07,SITE-06,3,0,0,0,147
2026-06-08,SITE-01,3,0,0,0,205
2026-06-08,SITE-02,3,0,0,0,257
2026-06-08,SITE-03,3,0,0,0,125
2026-06-08,SITE-04,3,0,0,0,240
2026-06-08,SITE-05,3,0,0,0,261
2026-06-08,SITE-06,3,0,0,0,202
2026-06-09,SITE-01,3,0,0,0,141
2026-06-09,SITE-02,3,0,0,0,152
2026-06-09,SITE-03,3,0,0,0,161
2026-06-09,SITE-04,3,0,0,0,253
2026-06-09,SITE-05,3,0,0,0,202
2026-06-09,SITE-06,3,0,0,0,234
2026-06-10,SITE-01,3,0,0,0,161
2026-06-10,SITE-02,3,0,0,0,114
2026-06-10,SITE-03,3,0,0,0,240
2026-06-10,SITE-04,3,0,0,0,170
2026-06-10,SITE-05,3,0,0,0,229
2026-06-10,SITE-06,3,0,0,0,146
2026-06-11,SITE-01,3,0,0,0,161
2026-06-11,SITE-02,3,0,0,0,101
2026-06-11,SITE-03,3,0,0,0,119
2026-06-11,SITE-04,3,0,0,0,171
2026-06-11,SITE-05,3,0,0,0,226
2026-06-11,SITE-06,3,0,0,0,222
2026-06-12,SITE-01,3,0,0,0,288
2026-06-12,SITE-02,3,0,0,0,256
2026-06-12,SITE-03,3,0,0,0,201
2026-06-12,SITE-04,3,0,0,0,233
2026-06-12,SITE-05,3,0,0,0,140
2026-06-12,SITE-06,3,0,0,0,175
2026-06-13,SITE-01,3,0,0,0,308
2026-06-13,SITE-02,3,0,0,0,201
2026-06-13,SITE-03,3,0,0,0,219
2026-06-13,SITE-04,3,0,0,0,249
2026-06-13,SITE-05,3,0,0,0,274
2026-06-13,SITE-06,3,0,0,0,300
2026-06-14,SITE-01,3,0,0,0,224
2026-06-14,SITE-02,3,0,0,0,266
2026-06-14,SITE-03,3,0,0,0,291
2026-06-14,SITE-04,3,0,0,0,211
2026-06-14,SITE-05,3,0,0,0,225
2026-06-14,SITE-06,3,0,0,0,230
2026-06-15,SITE-01,3,0,0,0,216
2026-06-15,SITE-02,3,0,0,0,257
2026-06-15,SITE-03,3,0,0,0,188
2026-06-15,SITE-04,3,0,0,0,142
2026-06-15,SITE-05,3,0,0,0,203
2026-06-15,SITE-06,3,0,0,0,163
2026-06-16,SITE-01,3,0,0,0,187
2026-06-16,SITE-02,3,0,0,0,229
2026-06-16,SITE-03,3,0,0,0,207
2026-06-16,SITE-04,3,0,0,0,216
2026-06-16,SITE-05,3,0,0,0,307
2026-06-16,SITE-06,3,0,0,0,193
2026-06-17,SITE-01,3,0,0,0,215
2026-06-17,SITE-02,3,1,1,3,899
2026-06-17,SITE-03,3,0,0,0,268
2026-06-17,SITE-04,3,0,0,0,288
2026-06-17,SITE-05,3,0,0,0,302
2026-06-17,SITE-06,3,0,0,0,276
2026-06-18,SITE-01,3,0,0,0,131
2026-06-18,SITE-02,3,1,1,3,810
2026-06-18,SITE-03,3,0,0,0,189
2026-06-18,SITE-04,3,0,0,0,291
2026-06-18,SITE-05,3,0,0,0,197
2026-06-18,SITE-06,3,0,0,0,260
2026-06-19,SITE-01,3,0,0,0,183
2026-06-19,SITE-02,3,1,1,3,887
2026-06-19,SITE-03,3,0,0,0,192
2026-06-19,SITE-04,3,0,0,0,197
2026-06-19,SITE-05,3,0,0,0,131
2026-06-19,SITE-06,3,0,0,0,213
2026-06-20,SITE-01,3,0,0,0,166
2026-06-20,SITE-02,3,1,1,3,788
2026-06-20,SITE-03,3,0,0,0,234
2026-06-20,SITE-04,3,0,0,0,119
2026-06-20,SITE-05,3,0,0,0,283
2026-06-20,SITE-06,3,0,0,0,220
2026-06-21,SITE-01,3,0,0,0,204
2026-06-21,SITE-02,3,0,0,0,234
2026-06-21,SITE-03,3,0,0,0,258
2026-06-21,SITE-04,3,0,0,0,280
2026-06-21,SITE-05,3,0,0,0,207
2026-06-21,SITE-06,3,0,0,0,256
2026-06-22,SITE-01,3,0,0,0,319
2026-06-22,SITE-02,3,0,0,0,145
2026-06-22,SITE-03,3,0,0,0,257
2026-06-22,SITE-04,3,0,0,0,214
2026-06-22,SITE-05,3,0,0,0,248
2026-06-22,SITE-06,3,0,0,0,178
2026-06-23,SITE-01,3,0,0,0,198
2026-06-23,SITE-02,3,0,0,0,216
2026-06-23,SITE-03,3,0,0,0,213
2026-06-23,SITE-04,3,0,0,0,272
2026-06-23,SITE-05,3,0,0,0,192
2026-06-23,SITE-06,3,0,0,0,220
2026-06-24,SITE-01,3,0,0,0,155
2026-06-24,SITE-02,3,0,0,0,196
2026-06-24,SITE-03,3,0,0,0,246
2026-06-24,SITE-04,3,0,0,0,187
2026-06-24,SITE-05,3,0,0,0,246
2026-06-24,SITE-06,3,0,0,0,295
2026-06-25,SITE-01,3,0,0,0,222
2026-06-25,SITE-02,3,0,0,0,220
2026-06-25,SITE-03,3,0,0,0,229
2026-06-25,SITE-04,3,0,0,0,190
2026-06-25,SITE-05,3,0,0,0,146
2026-06-25,SITE-06,3,0,0,0,201
2026-06-26,SITE-01,3,0,0,0,289
2026-06-26,SITE-02,3,0,0,0,144
2026-06-26,SITE-03,3,0,0,0,248
2026-06-26,SITE-04,3,0,0,0,210
2026-06-26,SITE-05,3,0,0,0,138
2026-06-26,SITE-06,3,0,0,0,232
2026-06-27,SITE-01,3,0,0,0,217
2026-06-27,SITE-02,3,0,0,0,301
2026-06-27,SITE-03,3,0,0,0,252
2026-06-27,SITE-04,3,0,0,0,149
2026-06-27,SITE-05,3,0,0,0,241
