event_date,site_id,rule_id,rule_name,records_evaluated,records_failed,rule_fail_pct
2026-06-01,SITE-01,DQ-01,required_field_completeness,13041,13,0.1
2026-06-01,SITE-01,DQ-02,identifier_conformance,4624,31,0.67
2026-06-01,SITE-01,DQ-03,terminology_mapping,7469,45,0.602
2026-06-01,SITE-01,DQ-04,referential_integrity,11682,15,0.128
2026-06-01,SITE-02,DQ-01,required_field_completeness,10823,43,0.397
2026-06-01,SITE-02,DQ-02,identifier_conformance,12405,23,0.185
2026-06-01,SITE-02,DQ-03,terminology_mapping,12966,42,0.324
2026-06-01,SITE-02,DQ-04,referential_integrity,13570,3,0.022
2026-06-01,SITE-03,DQ-01,required_field_completeness,3701,16,0.432
2026-06-01,SITE-03,DQ-02,identifier_conformance,14259,15,0.105
2026-06-01,SITE-03,DQ-03,terminology_mapping,13395,6,0.045
2026-06-01,SITE-03,DQ-04,referential_integrity,7477,21,0.281
2026-06-01,SITE-04,DQ-01,required_field_completeness,8970,13,0.145
2026-06-01,SITE-04,DQ-02,identifier_conformance,12654,35,0.277
2026-06-01,SITE-04,DQ-03,terminology_mapping,5159,42,0.814
2026-06-01,SITE-04,DQ-04,referential_integrity,6514,18,0.276
2026-06-01,SITE-05,DQ-01,required_field_completeness,6584,16,0.243
2026-06-01,SITE-05,DQ-02,identifier_conformance,6211,5,0.081
2026-06-01,SITE-05,DQ-03,terminology_mapping,9133,4,0.044
2026-06-01,SITE-05,DQ-04,referential_integrity,5802,14,0.241
2026-06-01,SITE-06,DQ-01,required_field_completeness,13893,3,0.022
2026-06-01,SITE-06,DQ-02,identifier_conformance,6178,32,0.518
2026-06-01,SITE-06,DQ-03,terminology_mapping,14067,22,0.156
2026-06-01,SITE-06,DQ-04,referential_integrity,7748,13,0.168
2026-06-02,SITE-01,DQ-01,required_field_completeness,8735,42,0.481
2026-06-02,SITE-01,DQ-02,identifier_conformance,5387,41,0.761
2026-06-02,SITE-01,DQ-03,terminology_mapping,3609,45,1.247
2026-06-02,SITE-01,DQ-04,referential_integrity,4216,38,0.901
2026-06-02,SITE-02,DQ-01,required_field_completeness,8481,26,0.307
2026-06-02,SITE-02,DQ-02,identifier_conformance,14256,18,0.126
2026-06-02,SITE-02,DQ-03,terminology_mapping,9851,43,0.437
2026-06-02,SITE-02,DQ-04,referential_integrity,6535,28,0.428
2026-06-02,SITE-03,DQ-01,required_field_completeness,11611,43,0.37
2026-06-02,SITE-03,DQ-02,identifier_conformance,4076,17,0.417
2026-06-02,SITE-03,DQ-03,terminology_mapping,13181,19,0.144
2026-06-02,SITE-03,DQ-04,referential_integrity,7931,14,0.177
2026-06-02,SITE-04,DQ-01,required_field_completeness,14550,7,0.048
2026-06-02,SITE-04,DQ-02,identifier_conformance,4579,18,0.393
2026-06-02,SITE-04,DQ-03,terminology_mapping,6555,17,0.259
2026-06-02,SITE-04,DQ-04,referential_integrity,9741,20,0.205
2026-06-02,SITE-05,DQ-01,required_field_completeness,14401,9,0.062
2026-06-02,SITE-05,DQ-02,identifier_conformance,13880,44,0.317
2026-06-02,SITE-05,DQ-03,terminology_mapping,14168,42,0.296
2026-06-02,SITE-05,DQ-04,referential_integrity,14831,26,0.175
2026-06-02,SITE-06,DQ-01,required_field_completeness,8741,33,0.378
2026-06-02,SITE-06,DQ-02,identifier_conformance,3615,5,0.138
2026-06-02,SITE-06,DQ-03,terminology_mapping,10223,33,0.323
2026-06-02,SITE-06,DQ-04,referential_integrity,13136,26,0.198
2026-06-03,SITE-01,DQ-01,required_field_completeness,5499,35,0.636
2026-06-03,SITE-01,DQ-02,identifier_conformance,7651,5,0.065
2026-06-03,SITE-01,DQ-03,terminology_mapping,5415,3,0.055
2026-06-03,SITE-01,DQ-04,referential_integrity,9394,40,0.426
2026-06-03,SITE-02,DQ-01,required_field_completeness,9582,37,0.386
2026-06-03,SITE-02,DQ-02,identifier_conformance,8907,26,0.292
2026-06-03,SITE-02,DQ-03,terminology_mapping,5930,39,0.658
2026-06-03,SITE-02,DQ-04,referential_integrity,14040,40,0.285
2026-06-03,SITE-03,DQ-01,required_field_completeness,6455,15,0.232
2026-06-03,SITE-03,DQ-02,identifier_conformance,11695,2,0.017
2026-06-03,SITE-03,DQ-03,terminology_mapping,11687,44,0.376
