site_id,week_start,records_received,records_delivered,records_valid,wow_received_pct,flag_volume_swing,delivery_rate_pct,valid_rate_pct,worst_daily_p95_seconds,median_daily_p95_seconds,batches_failed,batches_retried,flagged_days
SITE-01,2026-06-01,120352,119056,117140,,False,98.92,98.39,298,267.0,0,0,0
SITE-01,2026-06-08,120547,119246,117388,0.2,False,98.92,98.44,299,288.0,0,0,0
SITE-01,2026-06-15,119380,118085,116182,-1.0,False,98.92,98.39,286,263.0,0,0,0
SITE-01,2026-06-22,118353,117055,115039,-0.9,False,98.9,98.28,279,258.0,0,0,0
SITE-01,2026-06-29,119531,118228,116325,1.0,False,98.91,98.39,298,267.0,0,0,0
SITE-01,2026-07-06,118677,117396,115446,-0.7,False,98.92,98.34,296,280.0,0,0,0
SITE-02,2026-06-01,96915,95894,94275,,False,98.95,98.31,334,320.0,0,0,0
SITE-02,2026-06-08,98461,97305,95596,1.6,False,98.83,98.24,331,318.0,0,0,0
SITE-02,2026-06-15,74670,72672,71391,-24.2,True,97.32,98.24,744,689.0,4,4,4
SITE-02,2026-06-22,97768,96745,95149,30.9,True,98.95,98.35,329,295.0,0,0,0
SITE-02,2026-06-29,100089,98973,97179,2.4,False,98.88,98.19,327,311.0,0,0,0
SITE-02,2026-07-06,99157,97996,96257,-0.9,False,98.83,98.23,319,268.0,0,0,0
SITE-03,2026-06-01,68252,67528,66436,,False,98.94,98.38,366,324.0,0,0,0
SITE-03,2026-06-08,73247,72486,71243,7.3,False,98.96,98.29,368,360.0,0,0,0
SITE-03,2026-06-15,70820,70004,68842,-3.3,False,98.85,98.34,368,315.0,0,0,0
SITE-03,2026-06-22,71729,70919,69700,1.3,False,98.87,98.28,360,348.0,0,0,0
SITE-03,2026-06-29,70938,70129,69005,-1.1,False,98.86,98.4,370,362.0,0,0,0
SITE-03,2026-07-06,68695,67955,66811,-3.2,False,98.92,98.32,367,345.0,0,0,0
SITE-04,2026-06-01,61081,60416,59477,,False,98.91,98.45,399,379.0,0,0,0
SITE-04,2026-06-08,60128,59453,58442,-1.6,False,98.88,98.3,404,358.0,0,0,0
SITE-04,2026-06-15,60181,59525,58533,0.1,False,98.91,98.33,395,377.0,0,0,0
SITE-04,2026-06-22,59686,58877,57113,-0.8,False,98.64,97.0,399,378.0,0,0,1
SITE-04,2026-06-29,58740,57768,55111,-1.6,False,98.35,95.4,389,383.0,0,0,3
SITE-04,2026-07-06,61837,61189,60201,5.3,False,98.95,98.39,402,369.0,0,0,0
SITE-05,2026-06-01,35362,34948,34387,,False,98.83,98.39,440,381.0,0,0,0
SITE-05,2026-06-08,35914,35498,34910,1.6,False,98.84,98.34,428,373.0,0,0,0
SITE-05,2026-06-15,39609,39204,38522,10.3,False,98.98,98.26,408,388.0,0,0,0
SITE-05,2026-06-22,37196,36752,36112,-6.1,False,98.81,98.26,431,408.0,0,0,0
SITE-05,2026-06-29,37545,37170,36499,0.9,False,99.0,98.19,1159,413.0,0,3,1
SITE-05,2026-07-06,36265,35867,35225,-3.4,False,98.9,98.21,1208,398.0,0,6,2
SITE-06,2026-06-01,25786,25502,25081,,False,98.9,98.35,473,459.0,0,0,0
SITE-06,2026-06-08,24910,24632,24188,-3.4,False,98.88,98.2,464,441.0,0,0,0
SITE-06,2026-06-15,25341,25059,24595,1.7,False,98.89,98.15,453,445.0,0,0,0
SITE-06,2026-06-22,26652,26342,25914,5.2,False,98.84,98.38,469,414.0,0,0,0
SITE-06,2026-06-29,24940,24654,24202,-6.4,False,98.85,98.17,471,453.0,0,0,0
SITE-06,2026-07-06,24811,24542,24119,-0.5,False,98.92,98.28,474,421.0,0,0,0
